journey_id,account_id,segment,region,industry,channel,funnel_stage,touch_position,total_touches,touch_timestamp,is_paid_channel,cost,converted,conversion_timestamp,days_to_conversion,revenue
1,1004,Mid-Market,North America,Healthcare,linkedin_ads,awareness,1,4,2024-07-12 09:00:00,1,78.69,0,,,0.0
1,1004,Mid-Market,North America,Healthcare,google_search,consideration,2,4,2024-07-13 09:00:00,1,51.69,0,,,0.0
1,1004,Mid-Market,North America,Healthcare,email_nurture,decision,3,4,2024-08-03 10:00:00,1,14.43,0,,,0.0
1,1004,Mid-Market,North America,Healthcare,partner_referral,decision,4,4,2024-08-10 12:00:00,1,271.76,0,,,0.0
2,637,SMB,North America,Healthcare,linkedin_ads,awareness,1,4,2024-04-07 14:00:00,1,88.3,0,,,0.0
2,637,SMB,North America,Healthcare,review_sites,consideration,2,4,2024-04-08 14:00:00,1,55.82,0,,,0.0
2,637,SMB,North America,Healthcare,google_search,consideration,3,4,2024-04-09 13:00:00,1,37.75,0,,,0.0
2,637,SMB,North America,Healthcare,retargeting,decision,4,4,2024-05-14 09:00:00,1,26.43,0,,,0.0
3,414,SMB,North America,Fintech,organic_search,awareness,1,6,2024-05-06 12:00:00,0,0.0,0,,,0.0
3,414,SMB,North America,Fintech,webinar,consideration,2,6,2024-05-18 13:00:00,1,178.2,0,,,0.0
3,414,SMB,North America,Fintech,google_search,consideration,3,6,2024-05-19 10:00:00,1,38.97,0,,,0.0
3,414,SMB,North America,Fintech,retargeting,decision,4,6,2024-06-05 11:00:00,1,51.79,0,,,0.0
3,414,SMB,North America,Fintech,direct,decision,5,6,2024-06-17 17:00:00,0,0.0,0,,,0.0
3,414,SMB,North America,Fintech,email_nurture,decision,6,6,2024-06-18 12:00:00,1,10.81,0,,,0.0
4,1621,Mid-Market,North America,Manufacturing,linkedin_ads,awareness,1,8,2024-02-23 14:00:00,1,102.64,0,,,0.0
4,1621,Mid-Market,North America,Manufacturing,google_search,consideration,2,8,2024-03-08 12:00:00,1,55.41,0,,,0.0
4,1621,Mid-Market,North America,Manufacturing,webinar,consideration,3,8,2024-03-10 11:00:00,1,159.9,0,,,0.0
4,1621,Mid-Market,North America,Manufacturing,review_sites,consideration,4,8,2024-03-28 17:00:00,1,29.59,0,,,0.0
4,1621,Mid-Market,North America,Manufacturing,retargeting,decision,5,8,2024-03-31 16:00:00,1,18.12,0,,,0.0
4,1621,Mid-Market,North America,Manufacturing,direct,decision,6,8,2024-04-14 10:00:00,0,0.0,0,,,0.0
4,1621,Mid-Market,North America,Manufacturing,partner_referral,decision,7,8,2024-04-17 09:00:00,1,264.42,0,,,0.0
4,1621,Mid-Market,North America,Manufacturing,email_nurture,decision,8,8,2024-04-23 10:00:00,1,12.64,0,,,0.0
5,436,Enterprise,EMEA,Retail,linkedin_ads,awareness,1,8,2024-08-12 17:00:00,1,64.88,0,,,0.0
5,436,Enterprise,EMEA,Retail,organic_search,awareness,2,8,2024-08-13 17:00:00,0,0.0,0,,,0.0
5,436,Enterprise,EMEA,Retail,google_search,consideration,3,8,2024-08-15 09:00:00,1,87.35,0,,,0.0
5,436,Enterprise,EMEA,Retail,review_sites,consideration,4,8,2024-08-26 14:00:00,1,42.31,0,,,0.0
5,436,Enterprise,EMEA,Retail,direct,decision,5,8,2024-09-04 16:00:00,0,0.0,0,,,0.0
5,436,Enterprise,EMEA,Retail,partner_referral,decision,6,8,2024-09-10 09:00:00,1,162.36,0,,,0.0
5,436,Enterprise,EMEA,Retail,retargeting,decision,7,8,2024-09-12 10:00:00,1,37.95,0,,,0.0
5,436,Enterprise,EMEA,Retail,email_nurture,decision,8,8,2024-09-20 14:00:00,1,12.76,0,,,0.0
6,1530,SMB,North America,Logistics,linkedin_ads,awareness,1,6,2024-04-27 17:00:00,1,63.22,0,,,0.0
6,1530,SMB,North America,Logistics,google_search,consideration,2,6,2024-05-03 12:00:00,1,63.38,0,,,0.0
6,1530,SMB,North America,Logistics,partner_referral,decision,3,6,2024-05-10 12:00:00,1,201.41,0,,,0.0
6,1530,SMB,North America,Logistics,email_nurture,decision,4,6,2024-05-23 09:00:00,1,5.13,0,,,0.0
6,1530,SMB,North America,Logistics,retargeting,decision,5,6,2024-05-26 10:00:00,1,42.38,0,,,0.0
6,1530,SMB,North America,Logistics,direct,decision,6,6,2024-06-07 09:00:00,0,0.0,0,,,0.0
7,222,SMB,North America,Logistics,organic_search,awareness,1,8,2024-06-21 12:00:00,0,0.0,1,2024-10-11 13:00:00,112.04,14220.38
7,222,SMB,North America,Logistics,webinar,consideration,2,8,2024-06-26 12:00:00,1,256.99,1,2024-10-11 13:00:00,107.04,14220.38
7,222,SMB,North America,Logistics,google_search,consideration,3,8,2024-06-27 17:00:00,1,89.15,1,2024-10-11 13:00:00,105.83,14220.38
7,222,SMB,North America,Logistics,review_sites,consideration,4,8,2024-07-15 16:00:00,1,29.9,1,2024-10-11 13:00:00,87.88,14220.38
7,222,SMB,North America,Logistics,direct,decision,5,8,2024-07-27 11:00:00,0,0.0,1,2024-10-11 13:00:00,76.08,14220.38
7,222,SMB,North America,Logistics,partner_referral,decision,6,8,2024-08-04 15:00:00,1,120.43,1,2024-10-11 13:00:00,67.92,14220.38
7,222,SMB,North America,Logistics,retargeting,decision,7,8,2024-09-15 11:00:00,1,32.45,1,2024-10-11 13:00:00,26.08,14220.38
7,222,SMB,North America,Logistics,email_nurture,decision,8,8,2024-09-24 13:00:00,1,15.12,1,2024-10-11 13:00:00,17.0,14220.38
8,1994,Mid-Market,North America,Logistics,linkedin_ads,awareness,1,4,2024-03-19 09:00:00,1,50.1,1,2024-04-29 09:00:00,41.0,25289.02
8,1994,Mid-Market,North America,Logistics,review_sites,consideration,2,4,2024-03-29 14:00:00,1,63.37,1,2024-04-29 09:00:00,30.79,25289.02
8,1994,Mid-Market,North America,Logistics,google_search,consideration,3,4,2024-04-19 09:00:00,1,59.23,1,2024-04-29 09:00:00,10.0,25289.02
8,1994,Mid-Market,North America,Logistics,direct,decision,4,4,2024-04-22 09:00:00,0,0.0,1,2024-04-29 09:00:00,7.0,25289.02
9,163,Enterprise,EMEA,Retail,organic_search,awareness,1,7,2024-04-23 14:00:00,0,0.0,1,2024-05-24 16:00:00,31.08,110647.98
9,163,Enterprise,EMEA,Retail,webinar,consideration,2,7,2024-04-25 12:00:00,1,136.82,1,2024-05-24 16:00:00,29.17,110647.98
9,163,Enterprise,EMEA,Retail,email_nurture,decision,3,7,2024-04-27 13:00:00,1,14.0,1,2024-05-24 16:00:00,27.12,110647.98
9,163,Enterprise,EMEA,Retail,partner_referral,decision,4,7,2024-05-03 15:00:00,1,260.71,1,2024-05-24 16:00:00,21.04,110647.98
9,163,Enterprise,EMEA,Retail,google_search,consideration,5,7,2024-05-05 11:00:00,1,71.7,1,2024-05-24 16:00:00,19.21,110647.98
9,163,Enterprise,EMEA,Retail,retargeting,decision,6,7,2024-05-08 13:00:00,1,54.53,1,2024-05-24 16:00:00,16.12,110647.98
9,163,Enterprise,EMEA,Retail,direct,decision,7,7,2024-05-15 16:00:00,0,0.0,1,2024-05-24 16:00:00,9.0,110647.98
10,1227,Mid-Market,North America,Retail,linkedin_ads,awareness,1,8,2024-08-31 13:00:00,1,115.88,1,2024-09-29 16:00:00,29.12,27369.95
10,1227,Mid-Market,North America,Retail,google_search,consideration,2,8,2024-09-01 13:00:00,1,76.46,1,2024-09-29 16:00:00,28.12,27369.95
10,1227,Mid-Market,North America,Retail,webinar,consideration,3,8,2024-09-05 12:00:00,1,135.34,1,2024-09-29 16:00:00,24.17,27369.95
10,1227,Mid-Market,North America,Retail,partner_referral,decision,4,8,2024-09-13 14:00:00,1,127.21,1,2024-09-29 16:00:00,16.08,27369.95
10,1227,Mid-Market,North America,Retail,retargeting,decision,5,8,2024-09-14 12:00:00,1,31.66,1,2024-09-29 16:00:00,15.17,27369.95
10,1227,Mid-Market,North America,Retail,review_sites,consideration,6,8,2024-09-20 13:00:00,1,48.52,1,2024-09-29 16:00:00,9.12,27369.95
10,1227,Mid-Market,North America,Retail,direct,decision,7,8,2024-09-25 17:00:00,0,0.0,1,2024-09-29 16:00:00,3.96,27369.95
10,1227,Mid-Market,North America,Retail,email_nurture,decision,8,8,2024-09-27 16:00:00,1,9.16,1,2024-09-29 16:00:00,2.0,27369.95
11,1466,SMB,North America,SaaS,organic_search,awareness,1,4,2024-03-17 17:00:00,0,0.0,0,,,0.0
11,1466,SMB,North America,SaaS,review_sites,consideration,2,4,2024-04-18 15:00:00,1,59.55,0,,,0.0
11,1466,SMB,North America,SaaS,direct,decision,3,4,2024-05-28 11:00:00,0,0.0,0,,,0.0
11,1466,SMB,North America,SaaS,email_nurture,decision,4,4,2024-06-11 12:00:00,1,8.94,0,,,0.0
12,1093,Mid-Market,EMEA,Fintech,linkedin_ads,awareness,1,4,2024-07-02 16:00:00,1,65.9,0,,,0.0
12,1093,Mid-Market,EMEA,Fintech,review_sites,consideration,2,4,2024-07-11 12:00:00,1,25.33,0,,,0.0
12,1093,Mid-Market,EMEA,Fintech,google_search,consideration,3,4,2024-08-15 12:00:00,1,81.4,0,,,0.0
12,1093,Mid-Market,EMEA,Fintech,email_nurture,decision,4,4,2024-10-17 16:00:00,1,8.21,0,,,0.0
13,1357,SMB,EMEA,Retail,organic_search,awareness,1,3,2024-08-14 10:00:00,0,0.0,0,,,0.0
13,1357,SMB,EMEA,Retail,google_search,consideration,2,3,2024-08-23 15:00:00,1,88.97,0,,,0.0
13,1357,SMB,EMEA,Retail,partner_referral,decision,3,3,2024-08-28 14:00:00,1,158.02,0,,,0.0
14,2206,SMB,North America,Retail,linkedin_ads,awareness,1,8,2024-09-05 14:00:00,1,90.5,1,2024-12-15 15:00:00,101.04,18786.38
14,2206,SMB,North America,Retail,organic_search,awareness,2,8,2024-09-22 10:00:00,0,0.0,1,2024-12-15 15:00:00,84.21,18786.38
14,2206,SMB,North America,Retail,webinar,consideration,3,8,2024-10-09 13:00:00,1,164.78,1,2024-12-15 15:00:00,67.08,18786.38
14,2206,SMB,North America,Retail,review_sites,consideration,4,8,2024-10-13 17:00:00,1,43.21,1,2024-12-15 15:00:00,62.92,18786.38
