channel,attributed_revenue,attributed_conversions,assisted_touchpoints,spend,roas,model
retargeting,14562077.22,308.0,308.0,104116.26,139.86,last_touch
partner_referral,14275599.03,294.0,294.0,549772.24,25.97,last_touch
direct,14012625.65,320.0,320.0,0.0,,last_touch
email_nurture,12122895.71,283.0,283.0,29502.48,410.91,last_touch
google_search,0.0,0.0,0.0,203060.2,0.0,last_touch
linkedin_ads,0.0,0.0,0.0,241516.33,0.0,last_touch
organic_search,0.0,0.0,0.0,0.0,,last_touch
review_sites,0.0,0.0,0.0,116377.9,0.0,last_touch
webinar,0.0,0.0,0.0,563849.36,0.0,last_touch
google_search,6917963.62,150.53,907.0,203060.2,34.07,linear
retargeting,6581736.23,143.18,891.0,104116.26,63.22,linear
webinar,6392267.91,136.59,845.0,563849.36,11.34,linear
email_nurture,6382553.39,141.59,893.0,29502.48,216.34,linear
linkedin_ads,6311391.29,140.25,811.0,241516.33,26.13,linear
organic_search,5782401.76,123.71,721.0,0.0,,linear
partner_referral,5781996.6,124.21,795.0,549772.24,10.52,linear
direct,5534185.26,122.46,792.0,0.0,,linear
review_sites,5288701.56,122.48,762.0,116377.9,45.44,linear
retargeting,11065074.92,232.64,891.0,104116.26,106.28,time_decay
email_nurture,9948742.75,220.61,893.0,29502.48,337.22,time_decay
partner_referral,9633184.11,204.69,795.0,549772.24,17.52,time_decay
direct,9143218.25,206.36,792.0,0.0,,time_decay
google_search,4214088.76,93.33,907.0,203060.2,20.75,time_decay
webinar,3845661.63,85.05,845.0,563849.36,6.82,time_decay
review_sites,3419127.12,81.05,762.0,116377.9,29.38,time_decay
organic_search,1904755.76,40.64,721.0,0.0,,time_decay
linkedin_ads,1799344.31,40.62,811.0,241516.33,7.45,time_decay
linkedin_ads,12383617.44,273.89,811.0,241516.33,51.27,u_shaped
organic_search,10257460.94,222.79,721.0,0.0,,u_shaped
retargeting,6980923.49,148.87,891.0,104116.26,67.05,u_shaped
partner_referral,6645843.72,138.54,795.0,549772.24,12.09,u_shaped
direct,6534335.71,148.04,792.0,0.0,,u_shaped
email_nurture,6039771.78,138.97,893.0,29502.48,204.72,u_shaped
google_search,2352756.13,50.47,907.0,203060.2,11.59,u_shaped
webinar,2065640.85,43.94,845.0,563849.36,3.66,u_shaped
review_sites,1712847.55,39.48,762.0,116377.9,14.72,u_shaped
